"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"DL","SFO","ATL","JFK","3","31","47","31"
"AA","SFO","ORD","JFK","16","49","-6","49"
"DL","SFO","DTW","JFK","-1","55","66","55"
"DL","SFO","ATL","JFK","1","-11","3","-11"
"AA","SFO","MIA","JFK","1","60","98","60"
"VX","SFO","LAX","JFK","146","102","111","102"
"VX","SFO","LAX","JFK","176","102","126","102"
"VX","SFO","LAX","JFK","52","102","126","102"
"AA","SFO","MIA","JFK","89","-24","-4","-24"
"B6","SFO","FLL","JFK","151","63","76","63"
"DL","SFO","ATL","JFK","167","-2","1","-2"
"DL","SFO","ATL","JFK","176","-12","5","-12"
"AA","SFO","MIA","JFK","113","-13","-5","-13"
"DL","SFO","ATL","JFK","10","26","35","26"
"VX","SFO","LAX","JFK","23","-41","-1","-41"
"VX","SFO","LAX","JFK","9","-41","-1","-41"
"AA","SFO","ORD","JFK","21","3","2","3"
"B6","SFO","FLL","JFK","-3","1","-2","1"
"AA","SFO","ORD","JFK","3","3","2","3"
"VX","SFO","LAX","JFK","11","-21","4","-21"
"VX","SFO","LAX","JFK","11","26","36","26"
"DL","SFO","DTW","JFK","10","30","29","30"
"VX","SFO","LAX","JFK","-3","9","15","9"
"VX","SFO","LAX","JFK","10","36","23","36"
"B6","SFO","BOS","JFK","51","39","48","39"
"AA","SFO","MIA","JFK","0","9","23","9"
"B6","SFO","FLL","JFK","23","8","1","8"
"B6","SFO","FLL","JFK","23","11","4","11"
"DL","SFO","ATL","JFK","-2","-6","10","-6"
"DL","SFO","ATL","JFK","5","-7","1","-7"
"DL","SFO","ATL","JFK","14","12","21","12"
"AA","SFO","MIA","JFK","2","10","-2","10"
"DL","SFO","ATL","JFK","9","8","18","8"
"VX","SFO","LAX","JFK","4","-13","8","-13"
"B6","SFO","BOS","JFK","-1","39","36","39"
"AA","SFO","ORD","JFK","4","-16","0","-16"
"B6","SFO","FLL","JFK","159","105","102","105"
"AA","SFO","ORD","JFK","7","88","90","88"
"DL","SFO","ATL","JFK","-2","-7","7","-7"
"AA","SFO","MIA","JFK","-3","13","0","13"
"VX","SFO","LAX","JFK","13","11","35","11"
"DL","SFO","ATL","JFK","0","1","7","1"
"B6","SFO","BOS","JFK","-7","13","0","13"
"DL","SFO","ATL","JFK","8","1","7","1"
"AA","SFO","ORD","JFK","17","24","11","24"
"B6","SFO","FLL","JFK","-2","-5","14","-5"
"B6","SFO","FLL","JFK","-2","28","38","28"
"AA","SFO","ORD","JFK","1","24","11","24"
"VX","SFO","LAX","JFK","-1","-3","18","-3"
"B6","SFO","BOS","JFK","-3","18","20","18"
"DL","SFO","ATL","JFK","0","-33","-1","-33"
"VX","SFO","LAX","JFK","-4","7","28","7"
"VX","SFO","LAX","JFK","-9","-5","-8","-5"
"B6","SFO","BOS","JFK","-3","15","7","15"
"B6","SFO","FLL","JFK","6","-5","2","-5"
"DL","SFO","ATL","JFK","-3","-20","-1","-20"
"AA","SFO","ORD","JFK","-3",,"16",
"DL","SFO","ATL","JFK","-2","-22","-1","-22"
"AA","SFO","MIA","JFK","0","27","36","27"
"VX","SFO","LAX","JFK","-8","7","6","7"
"VX","SFO","LAX","JFK","-6","7","6","7"
"B6","SFO","BOS","JFK","-7","65","50","65"
"B6","SFO","BOS","JFK","-7","252","242","252"
"DL","SFO","ATL","JFK","-1","90","70","90"
